outer_source,catboost_inner_mae,random_forest_inner_mae,catboost_weight,random_forest_weight
SRC-0001,1.223048322151423,1.1804681855456027,0.4911421168796924,0.5088578831203076
SRC-0002,1.2426222205332638,1.195105382012615,0.4902538662500634,0.5097461337499366
SRC-0003,1.2395226988692418,1.2016535366923808,0.49224366483148463,0.5077563351685154
SRC-0004,1.21390230822861,1.2183213833739814,0.5009084434052321,0.49909155659476784
SRC-0005,1.1691029394404797,1.1702829348000674,0.5002522019502171,0.4997477980497829
SRC-0006,1.2483179572620149,1.2475315350282656,0.49984245399488664,0.5001575460051134
SRC-0007,1.2606430014510888,1.2356459372217568,0.49499315487040096,0.5050068451295989
SRC-0008,1.1876846793974016,1.1294634025850945,0.48743686748701565,0.5125631325129842
SRC-0009,1.2208411928093807,1.2157929142109818,0.49896408767655065,0.5010359123234494
SRC-0010,1.186425185651175,1.169928717869242,0.49649957764041996,0.50350042235958
SRC-0011,1.2334796976447053,1.1846313050324968,0.48989947265486855,0.5101005273451314
SRC-0012,1.2677546771064219,1.2631237528516075,0.4990851152311391,0.5009148847688608
SRC-0013,1.184867232423655,1.1553051718661596,0.4936837857537109,0.506316214246289
SRC-0014,1.1507380343346059,1.1323616262798866,0.49597555718400543,0.5040244428159947
SRC-0015,1.2339209119170038,1.1865909317509995,0.4902231463378669,0.5097768536621332
SRC-0016,1.1819609132215738,1.2158351911418943,0.5070636276910028,0.49293637230899734
