source_id,paper_id,rows,mae,rmse,r2
SRC-0001,FREE-1,4,0.7805598509086089,1.0160425790804446,0.4876712047124361
SRC-0002,FREE-2,6,0.6746479996731711,0.7296232125151159,0.5471085199091692
SRC-0003,FREE-3,3,0.9408689219846597,1.2262085692094655,0.5839880260194252
SRC-0004,FREE-4,8,0.7738142673177845,1.0506057215261746,0.13503817246692562
SRC-0005,FREE-5,10,1.7452876772161527,2.2005439170373324,0.10612681061802443
SRC-0006,FREE-7,7,0.9509202847679352,1.0727410929129768,0.5521926686087814
SRC-0007,FREE-8,10,1.0873510966981264,1.2260158487222523,0.16120307584580873
SRC-0008,FREE-9,10,1.849644032221931,2.2505949790896307,-2.1419749146476375
SRC-0009,FREE-10,7,0.9255575940307395,1.099839758070196,0.790998846339339
SRC-0010,FREE-11,11,1.3690854947907591,1.6943102137163735,0.48719309867691796
SRC-0011,FREE-12,6,0.8031238277538745,0.9859523683535497,0.698550411479318
SRC-0012,FREE-14,8,0.41724475967584806,0.4839200073708508,0.7718988952752069
SRC-0013,FREE-15,4,1.5978295551961117,2.069698792971915,0.33686757661829214
SRC-0014,FREE-16,6,1.7760787213839606,2.3925945623383793,-1.3074116102695066
SRC-0015,FREE-17,2,0.9210909879136278,1.2429090571614576,-1.9390210214011567
SRC-0016,EXISTING-A,7,1.31570725391301,1.5348871093470149,0.3836506425030799
